word,condition,n,word_count_mean,word_count_sd,word_count_median,word_count_min,word_count_max,char_count_mean,char_count_sd,char_count_median,char_count_min,char_count_max,sentence_count_mean,sentence_count_sd,sentence_count_median,sentence_count_min,sentence_count_max,bullet_count_mean,bullet_count_sd,bullet_count_median,bullet_count_min,bullet_count_max,input_tokens_mean,input_tokens_sd,input_tokens_median,input_tokens_min,input_tokens_max,output_tokens_mean,output_tokens_sd,output_tokens_median,output_tokens_min,output_tokens_max,latency_sec_mean,latency_sec_sd,latency_sec_median,latency_sec_min,latency_sec_max,uncertainty_count_mean,uncertainty_count_sd,uncertainty_count_median,uncertainty_count_min,uncertainty_count_max,animal_terms_count_mean,animal_terms_count_sd,animal_terms_count_median,animal_terms_count_min,animal_terms_count_max,object_terms_count_mean,object_terms_count_sd,object_terms_count_median,object_terms_count_min,object_terms_count_max,idea_terms_count_mean,idea_terms_count_sd,idea_terms_count_median,idea_terms_count_min,idea_terms_count_max,specific_terms_total_mean,specific_terms_total_sd,specific_terms_total_median,specific_terms_total_min,specific_terms_total_max,domain_marker_variety_mean,domain_marker_variety_sd,domain_marker_variety_median,domain_marker_variety_min,domain_marker_variety_max,usable_rate,usable_count,uncertainty_present_rate,uncertainty_present_count,epistemic_caveat_rate,epistemic_caveat_count,refusal_or_noninvent_rate,refusal_or_noninvent_count,creative_frame_rate,creative_frame_count,taxonomy_marker_rate,taxonomy_marker_count,offer_or_context_request_rate,offer_or_context_request_count,physical_description_rate,physical_description_count,behavior_ecology_rate,behavior_ecology_count,function_mechanism_rate,function_mechanism_count,abstract_conceptual_rate,abstract_conceptual_count,high_specificity_rate,high_specificity_count,substantive_generation_rate,substantive_generation_count,cautious_nonanswer_rate,cautious_nonanswer_count,caveated_generation_rate,caveated_generation_count,category_aligned_rate,category_aligned_count
borthorpunius,imaginary_animal,20,202.5,7.4090982475673295,202.0,182,213,1325.65,31.76770124049367,1326.5,1244,1394,9.95,1.571958215595741,10.0,6,12,1.25,1.5852942612451613,0.0,0,4,24.0,0.0,24.0,24,24,326.75,11.49771144276341,324.0,308,351,8.5024,0.4092945664252865,8.442499999999999,7.84,9.466,0.3,0.6569466853317862,0.0,0,2,6.35,2.0072237962970276,6.0,2,10,1.2,1.0563093645728086,1.0,0,3,0.1,0.3077935056255462,0.0,0,1,7.65,2.497893849668261,8.0,3,12,2.75,0.7163503994113789,3.0,2,4,1.0,20,0.2,4,0.0,0,0.0,0,0.05,1,0.35,7,0.0,0,1.0,20,1.0,20,0.35,7,0.05,1,0.8,16,1.0,20,0.0,0,0.0,0,1.0,20.0
borthorpunius,imaginary_idea,20,196.0,9.43119125143015,196.5,183,216,1317.65,60.59205697466504,1319.5,1217,1446,7.65,2.5188761069384222,7.5,4,14,4.2,2.2384204957490614,4.0,0,8,24.0,0.0,24.0,24,24,314.4,10.708579934357608,316.5,296,331,8.60615,0.3932408228259653,8.643,7.718,9.415,1.2,1.0052493799000692,1.0,0,3,0.7,0.8013147091860318,1.0,0,3,3.3,2.494203807145468,3.0,0,9,1.45,1.145931016569864,1.0,0,5,5.45,2.523051619306313,5.5,1,10,3.95,1.0990426455975697,4.0,1,5,1.0,20,0.7,14,0.0,0,0.0,0,0.8,16,0.6,12,0.05,1,0.95,19,0.95,19,0.6,12,0.85,17,0.5,10,1.0,20,0.0,0,0.0,0,0.15,3.0
borthorpunius,imaginary_object,20,213.45,13.512080364972439,215.5,186,239,1304.9,74.23781133343674,1319.5,1099,1454,9.55,1.0990426455975697,10.0,7,12,0.4,1.2311740225021848,0.0,0,4,24.0,0.0,24.0,24,24,306.5,14.442262543258968,307.5,270,328,8.5689,0.5057007540350114,8.459,7.525,9.567,1.65,1.694418080515829,1.5,0,6,0.75,0.8506963092234007,1.0,0,3,9.3,2.4083189157584592,9.0,5,14,0.15,0.36634754853252327,0.0,0,1,10.2,2.6277867413271454,10.0,6,15,2.6,0.7539370349250519,3.0,1,4,1.0,20,0.65,13,0.05,1,0.0,0,0.6,12,0.4,8,0.0,0,1.0,20,0.15,3,0.95,19,0.1,2,1.0,20,1.0,20,0.0,0,0.05,1,1.0,20.0
borthorpunius,neutral,20,77.3,9.14272791262053,76.0,55,96,464.5,60.713737281910454,461.5,341,597,5.5,1.0513149660756935,6.0,4,7,2.2,1.361114094757441,3.0,0,4,17.0,0.0,17.0,17,17,115.05,15.652391779566873,112.0,80,145,3.7406999999999995,0.5566093877454061,3.746,2.916,4.681,2.65,0.8750939799154205,2.0,2,4,0.25,0.4442616583193193,0.0,0,1,0.95,0.6048053188292994,1.0,0,2,0.35,0.4893604849295929,0.0,0,1,1.55,1.3168942730211068,1.0,0,4,0.6,0.5982430416161189,1.0,0,2,1.0,20,1.0,20,1.0,20,0.0,0,0.5,10,0.05,1,1.0,20,0.0,0,0.0,0,0.2,4,0.35,7,0.0,0,0.0,0,1.0,20,0.0,0,,
borthorpunius,real_animal,20,87.95,6.5169818652178995,86.5,79,103,510.85,44.51880146871125,501.0,455,606,6.05,1.0990426455975697,6.0,4,9,0.6,1.2311740225021848,0.0,0,3,23.0,0.0,23.0,23,23,122.15,13.11598061024875,117.5,110,157,3.5848999999999998,0.5391434629894075,3.3565,2.923,4.659,5.05,1.2763022245616644,5.0,3,8,2.35,0.6708203932499369,2.0,1,4,1.05,0.22360679774997894,1.0,1,2,0.0,0.0,0.0,0,0,3.4,0.5982430416161189,3.0,3,5,0.25,0.4442616583193193,0.0,0,1,1.0,20,1.0,20,1.0,20,0.05,1,0.15,3,0.25,5,1.0,20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,20,0.0,0,0.95,19.0
borthorpunius,real_idea,20,86.85,11.370668637470617,85.0,73,113,529.6,65.61001207293387,511.5,457,690,5.95,1.4680814547887786,6.0,3,9,2.5,1.5727950313140984,2.0,0,6,23.0,0.0,23.0,23,23,128.3,16.521437429498746,124.5,109,165,3.9905,0.40982878324850175,3.8715,3.183,4.723,3.35,1.4244112357114613,3.0,2,6,0.1,0.30779350562554625,0.0,0,1,1.05,0.22360679774997896,1.0,1,2,0.75,0.8506963092234007,1.0,0,3,1.9,1.2096106376585989,2.0,1,5,0.9,0.6407232755171874,1.0,0,2,1.0,20,1.0,20,1.0,20,0.2,4,0.1,2,0.2,4,1.0,20,0.0,0,0.0,0,0.0,0,0.7,14,0.0,0,0.0,0,1.0,20,0.0,0,0.1,2.0
borthorpunius,real_object,20,82.65,8.701330811705576,83.5,64,98,503.8,50.384416972752696,506.5,394,597,4.2,0.523148363780597,4.0,3,5,2.5,1.3178930553209385,3.0,0,4,23.0,0.0,23.0,23,23,119.8,12.471441059687656,122.0,97,142,4.10445,0.9479830375453372,3.9925,2.952,7.628,3.8,1.105012502906165,4.0,2,6,0.3,0.47016234598162726,0.0,0,1,1.85,0.6708203932499369,2.0,1,3,0.35,0.48936048492959294,0.0,0,1,2.5,1.2773327473170102,2.0,1,4,0.4,0.5982430416161189,0.0,0,2,1.0,20,1.0,20,1.0,20,0.1,2,0.05,1,0.0,0,1.0,20,0.05,1,0.0,0,0.0,0,0.35,7,0.0,0,0.0,0,1.0,20,0.0,0,1.0,20.0
borthorpunius,type_of_animal,20,109.45,20.66136745869348,103.0,84,167,652.4,123.391290317898,598.0,509,1005,4.7,0.5712405705774795,5.0,4,6,2.95,0.7591546545162483,3.0,0,4,24.0,0.0,24.0,24,24,158.95,29.849579032560122,150.5,116,242,4.48235,1.0224544398548756,4.156499999999999,3.145,7.226,4.8,1.0563093645728086,5.0,3,6,3.75,1.1641577031891928,4.0,1,6,0.65,0.48936048492959294,1.0,0,1,0.0,0.0,0.0,0,0,4.4,1.0954451150103326,4.0,2,7,0.4,0.5026246899500346,0.0,0,1,1.0,20,1.0,20,1.0,20,0.25,5,1.0,20,0.35,7,1.0,20,0.0,0,0.0,0,0.05,1,0.0,0,0.1,2,0.1,2,0.9,18,0.1,2,0.95,19.0
borthorpunius,type_of_idea,20,142.25,12.685984807113552,142.5,113,172,858.65,82.38821773198296,863.5,700,1034,4.25,1.4095538674570611,4.0,3,7,4.2,1.5078740698501039,3.0,3,6,24.0,0.0,24.0,24,24,212.85,20.699033793875497,214.0,177,264,5.98295,0.5450308030889534,5.9895,5.241,6.986,4.3,1.5252264715358452,4.0,2,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,3.3,1.3018205875255098,3.0,1,6,3.3,1.3018205875255098,3.0,1,6,1.55,0.6863327411532597,1.0,1,3,1.0,20,1.0,20,1.0,20,0.25,5,1.0,20,0.1,2,0.7,14,0.0,0,0.0,0,0.45,9,1.0,20,0.1,2,0.55,11,0.35,7,0.55,11,1.0,20.0
borthorpunius,type_of_object,20,106.4,22.887367234947938,100.5,75,152,635.0,130.1497113651085,604.5,452,883,4.95,1.9049796241485244,4.0,3,10,3.65,1.1367080817685318,3.0,3,6,24.0,0.0,24.0,24,24,159.8,32.37705490328801,148.0,116,219,4.3545,0.8652085541100846,3.9705000000000004,3.37,6.673,4.15,1.5312533566021214,4.5,1,7,0.0,0.0,0.0,0,0,1.1,0.8522416262267903,1.0,0,3,0.5,0.512989176042577,0.5,0,1,1.6,0.9947229183096798,1.5,0,4,0.9,0.7181848464596078,1.0,0,2,1.0,20,1.0,20,0.85,17,0.0,0,1.0,20,0.15,3,1.0,20,0.0,0,0.0,0,0.25,5,0.5,10,0.0,0,0.1,2,0.75,15,0.1,2,0.55,11.0
