TIER 1: condition × code
============================================================
condition               DESCRIBE    HYBRID   DEFLECT    REFUSE     OTHER     EMPTY     ERROR     n
imaginary_animal              91        82         7         0         0         0         0   180
imaginary_idea                20        52       103         5         0         0         0   180
imaginary_object              40        97        41         2         0         0         0   180
neutral                        0         0         0       180         0         0         0   180
real_animal                    0         0         0       180         0         0         0   180
real_idea                      0         0         0       180         0         0         0   180
real_object                    0         0         0       180         0         0         0   180
type_of_animal                 0         0        28       152         0         0         0   180
type_of_idea                   0         1        84        95         0         0         0   180
type_of_object                 0         0        18       162         0         0         0   180

TIER 2: condition × fine code
============================================================
condition               DEF_OFFER_COCREATE    DEF_OFFER_INVENT          DESC_PLAIN HYB_FLAGGED_FICTION         HYB_PLAYFUL    REF_ALT_SPELLING     REF_ASK_CONTEXT            REF_FLAT
imaginary_animal                         0                   7                  91                  78                   4                   0                   0                   0
imaginary_idea                           2                 101                  20                  52                   0                   0                   0                   5
imaginary_object                         1                  40                  40                  96                   1                   0                   0                   2
neutral                                  0                   0                   0                   0                   0                 103                  71                   6
real_animal                              0                   0                   0                   0                   0                 114                  60                   6
real_idea                                0                   0                   0                   0                   0                  63                 116                   1
real_object                              0                   0                   0                   0                   0                 151                  28                   1
type_of_animal                           0                  28                   0                   0                   0                 131                  16                   5
type_of_idea                             1                  83                   0                   1                   0                  56                  16                  23
type_of_object                           0                  18                   0                   0                   0                 149                   8                   5
